tarih,urun_adi,birim,en_dusuk,en_yuksek,ithal_mi,hassasiyet_katsayisi,mevsim_faktoru,ort_fiyat
2022-01-03,ananas,Kg,15.0,22.0,1,1.2,0,18.5
2022-01-03,armut (deveci),Kg,5.0,10.0,0,1.1,0,7.5
2022-01-03,armut (muhtelif),Kg,5.0,11.0,0,1.1,0,8.0
2022-01-03,armut( ankara ),Kg,3.0,7.0,0,1.1,0,5.0
2022-01-03,avakado,Adet,5.0,10.0,0,1.2,0,7.5
2022-01-03,ayva,Kg,3.0,8.0,0,1.2,0,5.5
2022-01-03,bi̇ber (cin),Kg,13.0,22.0,0,1.2,0,17.5
2022-01-03,bi̇ber (dolma),Kg,8.0,12.0,0,1.2,0,10.0
2022-01-03,bi̇ber (köy),Kg,8.0,13.0,0,1.2,0,10.5
2022-01-03,bi̇ber (kıl),Kg,12.0,18.0,0,1.2,0,15.0
2022-01-03,bi̇ber (sivri),Kg,8.0,12.0,0,1.2,0,10.0
2022-01-03,bi̇ber (çarli),Kg,7.0,11.0,0,1.2,0,9.0
2022-01-03,bi̇ber salçalık (kapya),Kg,8.0,12.0,0,1.2,0,10.0
2022-01-03,brokoli̇,Kg,4.0,6.0,0,1.5,0,5.0
2022-01-03,dere otu (bağ),Demet,0.7,2.0,0,1.7,0,1.35
2022-01-03,domates (ii),Kg,2.0,3.0,0,1.5,0,2.5
2022-01-03,domates (köy),Kg,4.0,7.5,0,1.5,0,5.75
2022-01-03,domates (muhtelif),Kg,4.0,7.0,0,1.5,0,5.5
2022-01-03,domates (salkım),Kg,6.0,12.0,0,1.5,0,9.0
2022-01-03,domates (çeri),Kg,6.0,14.0,0,1.5,0,10.0
2022-01-03,ekşi̇ ot (bağ),Demet,0.7,2.0,0,1.2,0,1.35
2022-01-03,elma (golden),Kg,3.0,5.5,0,1.1,0,4.25
2022-01-03,elma (muhtelif),Kg,3.0,7.0,0,1.1,0,5.0
2022-01-03,elma (starking),Kg,3.0,5.5,0,1.1,0,4.25
2022-01-03,eri̇k (muhtelif),Kg,5.0,12.0,0,1.2,0,8.5
2022-01-03,fasulye (muhtelif),Kg,14.0,20.0,0,1.3,0,17.0
2022-01-03,fesleğen(reyhan)bağ,Demet,2.0,3.0,0,1.2,0,2.5
2022-01-03,greyfurt,Kg,1.8,3.5,0,1.2,0,2.65
2022-01-03,havuç,Kg,2.0,3.5,0,1.1,1,2.75
2022-01-03,hi̇ndi̇stan cevi̇zi̇(adet),Adet,6.0,12.0,0,1.2,0,9.0
2022-01-03,hurma ( cennet ),Kg,6.0,11.0,0,1.2,0,8.5
2022-01-03,ispanak,Kg,2.0,4.0,0,1.7,1,3.0
2022-01-03,kabak (beyaz),Kg,5.0,10.0,0,1.2,0,7.5
2022-01-03,kabak (kara),Kg,6.0,10.0,0,1.2,0,8.0
2022-01-03,karnabahar,Kg,2.0,4.0,0,1.4,0,3.0
2022-01-03,karpuz (muhtelif),Kg,3.0,6.0,0,1.0,0,4.5
2022-01-03,kavun (muhtelif),Kg,3.0,4.5,0,1.2,0,3.75
2022-01-03,ki̇vi̇,Kg,9.0,16.0,0,1.2,0,12.5
2022-01-03,lahana (beyaz),Kg,1.5,3.0,0,1.2,1,2.25
2022-01-03,lahana (mor),Kg,2.0,4.2,0,1.2,1,3.1
2022-01-03,li̇mon,Kg,1.0,2.5,0,1.2,0,1.75
2022-01-03,li̇mon(yatak),Kg,3.0,6.0,0,1.2,0,4.5
2022-01-03,mandali̇n (muhtelif),Kg,3.0,6.0,0,1.2,0,4.5
2022-01-03,mandali̇na (satsuma),Kg,5.0,9.0,0,1.2,0,7.0
2022-01-03,mantar (kültür),Kg,7.0,17.0,0,1.2,0,12.0
2022-01-03,marul (aysberk)adet,Adet,2.0,3.5,0,1.6,0,2.75
2022-01-03,marul (mor)adet,Adet,3.0,4.0,0,1.6,0,3.5
2022-01-03,marul (muhtelif)adet,Adet,2.0,3.5,0,1.6,0,2.75
2022-01-03,maydonoz (bağ),Demet,1.2,2.0,0,1.6,0,1.6
2022-01-03,muz (i̇thal),Kg,19.0,25.0,1,1.3,1,22.0
2022-01-03,muz (yerli),Kg,6.0,8.0,1,1.3,1,7.0
2022-01-03,nane(bağ),Demet,1.0,2.0,0,1.6,0,1.5
2022-01-03,nar ( muhtelif ),Kg,3.5,8.0,0,1.1,0,5.75
2022-01-03,pancar (kırmızı),Kg,1.5,2.5,0,1.2,0,2.0
2022-01-03,patates,Kg,3.0,4.2,0,1.0,1,3.6
2022-01-03,patlican (kemer),Kg,10.0,17.0,0,1.3,0,13.5
2022-01-03,patlican (topak),Kg,11.0,18.0,0,1.3,0,14.5
2022-01-03,pirasa,Kg,2.5,4.5,0,1.3,1,3.5
2022-01-03,portakal (finike),Kg,4.0,6.5,0,1.0,1,5.25
2022-01-03,portakal (muhtelif),Kg,2.0,4.5,0,1.0,1,3.25
2022-01-03,roka(bağ),Demet,1.0,2.0,0,1.2,0,1.5
2022-01-03,salatalik (muhtelif),Kg,7.0,12.0,0,1.5,0,9.5
2022-01-03,salatalik (silor),Kg,7.0,12.0,0,1.5,0,9.5
2022-01-03,sarimsak (kuru),Kg,10.0,20.0,0,1.0,0,15.0
2022-01-03,semi̇z otu(bağ),Demet,1.0,2.0,0,1.2,0,1.5
2022-01-03,sogan  ( yeşil ),Kg,4.5,7.0,0,1.0,1,5.75
2022-01-03,sogan (kuru),Kg,0.7,1.5,0,1.0,1,1.1
2022-01-03,sogan (kırmızı),Kg,4.0,6.5,0,1.0,1,5.25
2022-01-03,tere,Demet,1.0,2.0,0,1.2,0,1.5
2022-01-03,turp (  muhtelif ),Kg,1.5,2.5,0,1.2,0,2.0
2022-01-03,zencefi̇l (taze ),Kg,40.0,50.0,0,1.2,0,45.0
2022-01-03,çi̇lek,Kg,25.0,34.0,0,1.2,0,29.5
2022-01-03,üzüm (muhtelif),Kg,10.0,14.0,0,1.4,0,12.0
2022-01-03,üzüm (çekirdeksiz),Kg,7.0,12.0,0,1.4,0,9.5
2022-01-06,ananas,Kg,15.0,22.0,1,1.2,0,18.5
2022-01-06,armut (deveci),Kg,5.0,10.0,0,1.1,0,7.5
2022-01-06,armut (muhtelif),Kg,5.0,11.0,0,1.1,0,8.0
2022-01-06,armut( ankara ),Kg,3.0,7.0,0,1.1,0,5.0
2022-01-06,avakado,Adet,5.0,10.0,0,1.2,0,7.5
2022-01-06,ayva,Kg,3.0,8.0,0,1.2,0,5.5
2022-01-06,bi̇ber (cin),Kg,13.0,22.0,0,1.2,0,17.5
2022-01-06,bi̇ber (dolma),Kg,8.0,12.0,0,1.2,0,10.0
2022-01-06,bi̇ber (köy),Kg,8.0,13.0,0,1.2,0,10.5
2022-01-06,bi̇ber (kıl),Kg,12.0,18.0,0,1.2,0,15.0
2022-01-06,bi̇ber (sivri),Kg,8.0,12.0,0,1.2,0,10.0
2022-01-06,bi̇ber (çarli),Kg,7.0,11.0,0,1.2,0,9.0
2022-01-06,bi̇ber salçalık (kapya),Kg,8.0,12.0,0,1.2,0,10.0
2022-01-06,brokoli̇,Kg,4.0,6.0,0,1.5,0,5.0
2022-01-06,dere otu (bağ),Demet,0.7,2.0,0,1.7,0,1.35
2022-01-06,domates (ii),Kg,2.0,3.0,0,1.5,0,2.5
2022-01-06,domates (köy),Kg,4.0,7.5,0,1.5,0,5.75
2022-01-06,domates (muhtelif),Kg,4.0,7.0,0,1.5,0,5.5
2022-01-06,domates (salkım),Kg,6.0,12.0,0,1.5,0,9.0
2022-01-06,domates (çeri),Kg,6.0,14.0,0,1.5,0,10.0
